CD_REFNIS,TX_DESCR_FR,CD_PROV_REFNIS,TX_PROV_DESCR_FR,MS_POPULATION
11001,Aartselaar,10000.0,Province d’Anvers,14610
11002,Anvers,10000.0,Province d’Anvers,530630
11004,Boechout,10000.0,Province d’Anvers,13733
11005,Boom,10000.0,Province d’Anvers,18832
11007,Borsbeek,10000.0,Province d’Anvers,11226
11008,Brasschaat,10000.0,Province d’Anvers,38237
11009,Brecht,10000.0,Province d’Anvers,30143
11013,Edegem,10000.0,Province d’Anvers,22386
11016,Essen,10000.0,Province d’Anvers,19341
11018,Hemiksem,10000.0,Province d’Anvers,11812
11021,Hove (Anvers),10000.0,Province d’Anvers,8311
11022,Kalmthout,10000.0,Province d’Anvers,19179
11023,Kapellen (Anvers),10000.0,Province d’Anvers,27442
11024,Kontich,10000.0,Province d’Anvers,21340
11025,Lint,10000.0,Province d’Anvers,8553
11029,Mortsel,10000.0,Province d’Anvers,26189
11030,Niel,10000.0,Province d’Anvers,10595
11035,Ranst,10000.0,Province d’Anvers,19366
11037,Rumst,10000.0,Province d’Anvers,15254
11038,Schelle,10000.0,Province d’Anvers,8692
11039,Schilde,10000.0,Province d’Anvers,20031
11040,Schoten,10000.0,Province d’Anvers,34157
11044,Stabroek,10000.0,Province d’Anvers,18782
11050,Wijnegem,10000.0,Province d’Anvers,10244
11052,Wommelgem,10000.0,Province d’Anvers,13181
11053,Wuustwezel,10000.0,Province d’Anvers,21523
11054,Zandhoven,10000.0,Province d’Anvers,13172
11055,Zoersel,10000.0,Province d’Anvers,22317
11056,Zwijndrecht,10000.0,Province d’Anvers,19243
11057,Malle,10000.0,Province d’Anvers,15756
12002,Berlaar,10000.0,Province d’Anvers,11730
12005,Bonheiden,10000.0,Province d’Anvers,15319
12007,Bornem,10000.0,Province d’Anvers,21599
12009,Duffel,10000.0,Province d’Anvers,17770
12014,Heist-op-den-Berg,10000.0,Province d’Anvers,43594
12021,Lierre,10000.0,Province d’Anvers,37309
12025,Malines,10000.0,Province d’Anvers,86996
12026,Nijlen,10000.0,Province d’Anvers,23259
12029,Putte,10000.0,Province d’Anvers,18392
12035,Sint-Katelijne-Waver,10000.0,Province d’Anvers,21391
12040,Willebroek,10000.0,Province d’Anvers,27436
12041,Puurs-Sint-Amands,10000.0,Province d’Anvers,26311
13001,Arendonk,10000.0,Province d’Anvers,13297
13002,Baerle-Duc,10000.0,Province d’Anvers,2997
13003,Balen,10000.0,Province d’Anvers,23000
13004,Beerse,10000.0,Province d’Anvers,18378
13006,Dessel,10000.0,Province d’Anvers,9686
13008,Geel,10000.0,Province d’Anvers,41146
13010,Grobbendonk,10000.0,Province d’Anvers,11442
13011,Herentals,10000.0,Province d’Anvers,28455
13012,Herenthout,10000.0,Province d’Anvers,9287
13013,Herselt,10000.0,Province d’Anvers,14731
13014,Hoogstraten,10000.0,Province d’Anvers,21895
13016,Hulshout,10000.0,Province d’Anvers,10560
13017,Kasterlee,10000.0,Province d’Anvers,19140
13019,Lille,10000.0,Province d’Anvers,16688
13021,Meerhout,10000.0,Province d’Anvers,10258
13023,Merksplas,10000.0,Province d’Anvers,8683
13025,Mol,10000.0,Province d’Anvers,37600
13029,Olen,10000.0,Province d’Anvers,12582
13031,Oud-Turnhout,10000.0,Province d’Anvers,14402
13035,Ravels,10000.0,Province d’Anvers,15293
13036,Retie,10000.0,Province d’Anvers,11663
13037,Rijkevorsel,10000.0,Province d’Anvers,12324
13040,Turnhout,10000.0,Province d’Anvers,46372
13044,Vorselaar,10000.0,Province d’Anvers,8019
13046,Vosselaar,10000.0,Province d’Anvers,11556
13049,Westerlo,10000.0,Province d’Anvers,25308
13053,Laakdal,10000.0,Province d’Anvers,16464
23002,Asse,20001.0,Province du Brabant flamand,34494
23003,Beersel,20001.0,Province du Brabant flamand,26013
23009,Biévène,20001.0,Province du Brabant flamand,2265
23016,Dilbeek,20001.0,Province du Brabant flamand,44095
23023,Gammerages,20001.0,Province du Brabant flamand,8806
23024,Gooik,20001.0,Province du Brabant flamand,9392
23025,Grimbergen,20001.0,Province du Brabant flamand,38539
23027,Hal (Hal-Vilvorde),20001.0,Province du Brabant flamand,41284
23032,Herne,20001.0,Province du Brabant flamand,6743
23033,Hoeilaart,20001.0,Province du Brabant flamand,11433
23038,Kampenhout,20001.0,Province du Brabant flamand,12350
23039,Kapelle-op-den-Bos,20001.0,Province du Brabant flamand,9610
23044,Liedekerke,20001.0,Province du Brabant flamand,13651
23045,Londerzeel,20001.0,Province du Brabant flamand,19136
23047,Machelen (Hal-Vilvorde),20001.0,Province du Brabant flamand,16108
23050,Meise,20001.0,Province du Brabant flamand,19991
23052,Merchtem,20001.0,Province du Brabant flamand,17507
23060,Opwijk,20001.0,Province du Brabant flamand,14828
23062,Overijse,20001.0,Province du Brabant flamand,25888
23064,Pepingen,20001.0,Province du Brabant flamand,4507
23077,Sint-Pieters-Leeuw,20001.0,Province du Brabant flamand,35486
23081,Steenokkerzeel,20001.0,Province du Brabant flamand,12497
23086,Ternat,20001.0,Province du Brabant flamand,16283
23088,Vilvorde,20001.0,Province du Brabant flamand,46354
23094,Zaventem,20001.0,Province du Brabant flamand,35916
23096,Zemst,20001.0,Province du Brabant flamand,23306
23097,Roosdaal,20001.0,Province du Brabant flamand,11735
23098,Drogenbos,20001.0,Province du Brabant flamand,5770
23099,Kraainem,20001.0,Province du Brabant flamand,13928
23100,Linkebeek,20001.0,Province du Brabant flamand,4709
23101,Rhode-Saint-Genèse,20001.0,Province du Brabant flamand,18628
23102,Wemmel,20001.0,Province du Brabant flamand,17182
23103,Wezembeek-Oppem,20001.0,Province du Brabant flamand,14488
23104,Lennik,20001.0,Province du Brabant flamand,9312
23105,Affligem,20001.0,Province du Brabant flamand,13466
24001,Aarschot,20001.0,Province du Brabant flamand,30594
24007,Begijnendijk,20001.0,Province du Brabant flamand,10390
24008,Bekkevoort,20001.0,Province du Brabant flamand,6459
24009,Bertem,20001.0,Province du Brabant flamand,10258
24011,Bierbeek,20001.0,Province du Brabant flamand,10277
24014,Boortmeerbeek,20001.0,Province du Brabant flamand,12968
24016,Boutersem,20001.0,Province du Brabant flamand,8386
24020,Diest,20001.0,Province du Brabant flamand,24516
24028,Geetbets,20001.0,Province du Brabant flamand,6201
24033,Haacht,20001.0,Province du Brabant flamand,15264
24038,Herent,20001.0,Province du Brabant flamand,22430
24041,Hoegaarden,20001.0,Province du Brabant flamand,6811
24043,Holsbeek,20001.0,Province du Brabant flamand,10110
24045,Huldenberg,20001.0,Province du Brabant flamand,10017
24048,Keerbergen,20001.0,Province du Brabant flamand,13118
24054,Kortenaken,20001.0,Province du Brabant flamand,7916
24055,Kortenberg,20001.0,Province du Brabant flamand,20462
24059,Landen,20001.0,Province du Brabant flamand,16149
24062,Louvain,20001.0,Province du Brabant flamand,102236
24066,Lubbeek,20001.0,Province du Brabant flamand,14776
24086,Oud-Heverlee,20001.0,Province du Brabant flamand,11470
24094,Rotselaar,20001.0,Province du Brabant flamand,17294
24104,Tervuren,20001.0,Province du Brabant flamand,22852
24107,Tirlemont,20001.0,Province du Brabant flamand,35973
24109,Tremelo,20001.0,Province du Brabant flamand,15190
24130,Léau,20001.0,Province du Brabant flamand,8591
24133,Linter,20001.0,Province du Brabant flamand,7276
24134,Montaigu-Zichem,20001.0,Province du Brabant flamand,23375
24135,Tielt-Winge,20001.0,Province du Brabant flamand,11037
24137,Glabbeek,20001.0,Province du Brabant flamand,5344
25005,Beauvechain,20002.0,Province du Brabant wallon,7173
25014,Braine-l’Alleud,20002.0,Province du Brabant wallon,40346
25015,Braine-le-Château,20002.0,Province du Brabant wallon,10638
25018,Chaumont-Gistoux,20002.0,Province du Brabant wallon,11685
25023,Court-Saint-Etienne,20002.0,Province du Brabant wallon,10603
25031,Genappe,20002.0,Province du Brabant wallon,15611
25037,Grez-Doiceau,20002.0,Province du Brabant wallon,14005
25043,Incourt,20002.0,Province du Brabant wallon,5614
25044,Ittre,20002.0,Province du Brabant wallon,7067
25048,Jodoigne,20002.0,Province du Brabant wallon,14558
25050,La Hulpe,20002.0,Province du Brabant wallon,7499
25068,Mont-Saint-Guibert,20002.0,Province du Brabant wallon,8081
25072,Nivelles,20002.0,Province du Brabant wallon,29085
25084,Perwez (Nivelles),20002.0,Province du Brabant wallon,9513
25091,Rixensart,20002.0,Province du Brabant wallon,22856
25105,Tubize,20002.0,Province du Brabant wallon,27774
25107,Villers-la-Ville,20002.0,Province du Brabant wallon,10970
25110,Waterloo,20002.0,Province du Brabant wallon,30356
25112,Wavre,20002.0,Province du Brabant wallon,35111
25117,Chastre,20002.0,Province du Brabant wallon,7727
25118,Hélécine,20002.0,Province du Brabant wallon,3687
25119,Lasne,20002.0,Province du Brabant wallon,14299
25120,Orp-Jauche,20002.0,Province du Brabant wallon,9048
25121,Ottignies-Louvain-la-Neuve,20002.0,Province du Brabant wallon,31363
25122,Ramillies,20002.0,Province du Brabant wallon,6651
25123,Rebecq,20002.0,Province du Brabant wallon,10977
25124,Walhain,20002.0,Province du Brabant wallon,7485
31003,Beernem,30000.0,Province de Flandre occidentale,15966
31004,Blankenberge,30000.0,Province de Flandre occidentale,20408
31005,Bruges,30000.0,Province de Flandre occidentale,118509
31006,Damme,30000.0,Province de Flandre occidentale,11044
31012,Jabbeke,30000.0,Province de Flandre occidentale,14222
31022,Oostkamp,30000.0,Province de Flandre occidentale,23998
31033,Torhout,30000.0,Province de Flandre occidentale,20517
31040,Zedelgem,30000.0,Province de Flandre occidentale,23157
31042,Zuienkerke,30000.0,Province de Flandre occidentale,2709
31043,Knokke-Heist,30000.0,Province de Flandre occidentale,32875
32003,Dixmude,30000.0,Province de Flandre occidentale,16926
32006,Houthulst,30000.0,Province de Flandre occidentale,10267
32010,Koekelare,30000.0,Province de Flandre occidentale,8769
32011,Kortemark,30000.0,Province de Flandre occidentale,12803
32030,Lo-Reninge,30000.0,Province de Flandre occidentale,3217
33011,Ypres,30000.0,Province de Flandre occidentale,35039
33016,Messines,30000.0,Province de Flandre occidentale,1062
33021,Poperinge,30000.0,Province de Flandre occidentale,19782
33029,Wervik,30000.0,Province de Flandre occidentale,19020
33037,Zonnebeke,30000.0,Province de Flandre occidentale,12556
33039,Heuvelland,30000.0,Province de Flandre occidentale,7991
33040,Langemark-Poelkapelle,30000.0,Province de Flandre occidentale,7926
33041,Vleteren,30000.0,Province de Flandre occidentale,3646
34002,Anzegem,30000.0,Province de Flandre occidentale,15029
34003,Avelgem,30000.0,Province de Flandre occidentale,10291
34009,Deerlijk,30000.0,Province de Flandre occidentale,12356
34013,Harelbeke,30000.0,Province de Flandre occidentale,29095
34022,Courtrai,30000.0,Province de Flandre occidentale,77741
34023,Kuurne,30000.0,Province de Flandre occidentale,13975
34025,Lendelede,30000.0,Province de Flandre occidentale,5803
34027,Menin,30000.0,Province de Flandre occidentale,33982
34040,Waregem,30000.0,Province de Flandre occidentale,38948
34041,Wevelgem,30000.0,Province de Flandre occidentale,31565
34042,Zwevegem,30000.0,Province de Flandre occidentale,25140
34043,Espierres-Helchin,30000.0,Province de Flandre occidentale,2056
35002,Bredene,30000.0,Province de Flandre occidentale,18167
35005,Gistel,30000.0,Province de Flandre occidentale,12106
35006,Ichtegem,30000.0,Province de Flandre occidentale,14139
35011,Middelkerke,30000.0,Province de Flandre occidentale,19723
35013,Ostende,30000.0,Province de Flandre occidentale,71557
35014,Oudenburg,30000.0,Province de Flandre occidentale,9717
35029,De Haan,30000.0,Province de Flandre occidentale,12740
36006,Hooglede,30000.0,Province de Flandre occidentale,10003
36007,Ingelmunster,30000.0,Province de Flandre occidentale,11294
36008,Izegem,30000.0,Province de Flandre occidentale,28845
36010,Ledegem,30000.0,Province de Flandre occidentale,9738
36011,Lichtervelde,30000.0,Province de Flandre occidentale,9018
36012,Moorslede,30000.0,Province de Flandre occidentale,11386
36015,Roulers,30000.0,Province de Flandre occidentale,64495
36019,Staden,30000.0,Province de Flandre occidentale,11530
37002,Dentergem,30000.0,Province de Flandre occidentale,8699
37007,Meulebeke,30000.0,Province de Flandre occidentale,11010
37010,Oostrozebeke,30000.0,Province de Flandre occidentale,7972
37011,Pittem,30000.0,Province de Flandre occidentale,6793
37012,Ruiselede,30000.0,Province de Flandre occidentale,5444
37015,Tielt (Tielt),30000.0,Province de Flandre occidentale,20500
37017,Wielsbeke,30000.0,Province de Flandre occidentale,9917
37018,Wingene,30000.0,Province de Flandre occidentale,14852
37020,Ardooie,30000.0,Province de Flandre occidentale,9195
38002,Alveringem,30000.0,Province de Flandre occidentale,5025
38008,La Panne,30000.0,Province de Flandre occidentale,11122
38014,Koksijde,30000.0,Province de Flandre occidentale,21851
38016,Nieuport,30000.0,Province de Flandre occidentale,11488
38025,Furnes,30000.0,Province de Flandre occidentale,12295
41002,Alost (Alost),40000.0,Province de Flandre orientale,88854
41011,Denderleeuw,40000.0,Province de Flandre orientale,20772
41018,Grammont,40000.0,Province de Flandre orientale,34328
41024,Haaltert,40000.0,Province de Flandre orientale,18960
41027,Herzele,40000.0,Province de Flandre orientale,18489
41034,Lede,40000.0,Province de Flandre orientale,19054
41048,Ninove,40000.0,Province de Flandre orientale,39626
41063,Sint-Lievens-Houtem,40000.0,Province de Flandre orientale,10534
41081,Zottegem,40000.0,Province de Flandre orientale,27341
41082,Erpe-Mere,40000.0,Province de Flandre orientale,20606
42003,Berlare,40000.0,Province de Flandre orientale,15274
42004,Buggenhout,40000.0,Province de Flandre orientale,14748
42006,Termonde,40000.0,Province de Flandre orientale,46325
42008,Hamme (Termonde),40000.0,Province de Flandre orientale,25141
42010,Laarne,40000.0,Province de Flandre orientale,12518
42011,Lebbeke,40000.0,Province de Flandre orientale,19719
42023,Waasmunster,40000.0,Province de Flandre orientale,11022
42025,Wetteren,40000.0,Province de Flandre orientale,26444
42026,Wichelen,40000.0,Province de Flandre orientale,11765
42028,Zele,40000.0,Province de Flandre orientale,21349
43002,Assenede,40000.0,Province de Flandre orientale,14449
43005,Eeklo,40000.0,Province de Flandre orientale,21775
43007,Kaprijke,40000.0,Province de Flandre orientale,6539
43010,Maldegem,40000.0,Province de Flandre orientale,24409
43014,Sint-Laureins,40000.0,Province de Flandre orientale,6940
43018,Zelzate,40000.0,Province de Flandre orientale,13298
44012,De Pinte,40000.0,Province de Flandre orientale,11046
44013,Destelbergen,40000.0,Province de Flandre orientale,18856
44019,Evergem,40000.0,Province de Flandre orientale,36087
44020,Gavere,40000.0,Province de Flandre orientale,13205
44021,Gand,40000.0,Province de Flandre orientale,265086
44034,Lochristi,40000.0,Province de Flandre orientale,22897
44040,Melle,40000.0,Province de Flandre orientale,11887
44043,Merelbeke,40000.0,Province de Flandre orientale,24886
44045,Moerbeke (Gand),40000.0,Province de Flandre orientale,6685
44048,Nazareth,40000.0,Province de Flandre orientale,12040
44052,Oosterzele,40000.0,Province de Flandre orientale,13840
44064,Sint-Martens-Latem,40000.0,Province de Flandre orientale,8263
